,Scopus_ID,Name,Affiliated,Is_NSYSU
0,6602558075,"Lio, Mon Chi",National Sun Yat-Sen University,是
1,7004547082,"Shiue, Yow Ling",National Sun Yat-Sen University,是
2,7004599650,"Surampalli, Rao Yadagiri",Global Institute for Energy,否
3,7004599650,"Surampalli, Rao Yadagiri",Global Institute for Energy,否
4,7004599650,"Surampalli, Rao Yadagiri",Global Institute for Energy,否
5,7005636948,"Moo, Chin Sien",National Sun Yat-Sen University,是
6,7006690444,"Kuo, Feng Yang Bob",National Sun Yat-Sen University,是
7,7101923147,"Huang, I. Yu",National Tsing Hua University,否
8,7103224892,"Ko, Fung Chi",National Dong Hwa University,否
9,7201437333,"Hou, Mingfeng",Kaohsiung Medical University Chung-Ho Memorial Hospital,否
10,7201593523,"Chiang, Yuchung",National Sun Yat-Sen University,是
11,7201593523,"Chiang, Yuchung",National Sun Yat-Sen University,是
12,7201724198,"Wen, Zhihong Horng",National Sun Yat-Sen University,是
13,7201844225,"Chou, Ming Shean",National Sun Yat-Sen University,是
14,7201928653,"Sheu, Jyh-Horng",China Medical University Hospital Taichung,否
15,7202371159,"Hsu, Minna J.",National Sun Yat-Sen University,是
16,7202560224,"Teng, Jenhao",National Sun Yat-Sen University,是
17,7202677655,"Hwang, Gwojen",National Taiwan University of Science and Technology,否
18,7401785626,"Kuo, Shiao Wei",National Sun Yat-Sen University,是
19,7401791986,"Hsu, Tsaiwen",Endemic Species Research Institute,否
20,7401912239,"Chen, Nian Shing",National Yunlin University of Science and Technology,否
21,7401925802,"Tsai, Tsungming",National Sun Yat-Sen University,是
22,7402268897,"Yuan, Chungshin Jonathan",National Sun Yat-Sen University,是
23,7402268897,"Yuan, Chungshin Jonathan",National Sun Yat-Sen University,是
24,7402268897,"Yuan, Chungshin Jonathan",National Sun Yat-Sen University,是
25,7403086450,"Lai, Ching-Chong","Academia Sinica, Institute of Economics",否
26,7403166668,"Hung, Chinchang",National Sun Yat-Sen University,是
27,7403683128,"Kao, Chihming",National Sun Yat-Sen University,是
28,7403683128,"Kao, Chihming",National Sun Yat-Sen University,是
29,7403683128,"Kao, Chihming",National Sun Yat-Sen University,是
30,7403683128,"Kao, Chihming",National Sun Yat-Sen University,是
31,7403683128,"Kao, Chihming",National Sun Yat-Sen University,是
32,7403683128,"Kao, Chihming",National Sun Yat-Sen University,是
33,7403683128,"Kao, Chihming",National Sun Yat-Sen University,是
34,7404373398,"Zhang, Tiancheng",College of Engineering,否
35,7405566852,"Lin, Huann-shyang",Australian Catholic University,否
36,7405566852,"Lin, Huann-shyang",Australian Catholic University,否
37,7406353875,"Chen, Menghsien",Kaohsiung Medical University,否
38,7406588919,"Lin, Yuanchung",National Sun Yat-Sen University,是
39,7406588919,"Lin, Yuanchung",National Sun Yat-Sen University,是
40,7406588919,"Lin, Yuanchung",National Sun Yat-Sen University,是
41,7406588919,"Lin, Yuanchung",National Sun Yat-Sen University,是
42,7407036338,"Chang, Chunping",Shih Chien University,否
43,7410150049,"Lee, Chonlin",Kaohsiung Medical University,否
44,7501948087,"Chen, Chaoshun",I-Shou University,否
45,7501951055,"Chen, Chen-Tung Arthur",National Sun Yat-Sen University,是
46,7501951055,"Chen, Chen-Tung Arthur",National Sun Yat-Sen University,是
47,7501960514,"Chen, Chii Shiarng",National Dong Hwa University,否
48,8075492100,"Chang, Yangchi",National Sun Yat-Sen University,是
49,8075492100,"Chang, Yangchi",National Sun Yat-Sen University,是
50,8354939300,"Hung, Chunghsuang",National Kaohsiung University of Science and Technology,否
51,8535434300,"Wu, Shuiping",Xiamen University,否
52,8596936200,"Wang, Hongzen",National Sun Yat-Sen University,是
53,8596936200,"Wang, Hongzen",National Sun Yat-Sen University,是
54,8601620600,"Lee, Chien-Chiang",Nanchang University,否
55,8601620600,"Lee, Chien-Chiang",Nanchang University,否
56,8601620600,"Lee, Chien-Chiang",Nanchang University,否
57,8905150300,"Lee, Yukang",National Sun Yat-Sen University,是
58,8929013200,"Gao, Xuelu",University of Chinese Academy of Sciences,否
59,9044509400,"Chen, Colin S.",National Central University,否
60,9044509400,"Chen, Colin S.",National Central University,否
61,12041463300,"Li, Chien Feng",Chi Mei Medical Center,否
62,13402812300,"Lee, Tzung Lin",National Sun Yat-Sen University,是
63,13405682600,"Yang, Chu-Sing",National Cheng Kung University,否
64,15048107500,"Han, Jiayun",National Sun Yat-Sen University,是
65,16031088500,"Hsieh, Mengfen",National Taichung University of Science and Technology,否
66,16064251200,"Mayfield, Anderson B.",NOAA Atlantic Oceanographic and Meteorological Laboratory,否
67,16178781600,"Wu, Yangchang",China Medical University,否
68,16231588300,"Wei, Chunwang",Kaohsiung Medical University,否
69,16242089500,"Lin, Chitsan",National Kaohsiung University of Science and Technology,否
70,22135223800,"Lou, Jiechung",National Sun Yat-Sen University,是
71,23049646800,"Chang, Shuikai",National Sun Yat-Sen University,是
72,23491281400,"Chen, Pei Fen",National Sun Yat-Sen University,是
73,23570486400,"Chen, Weihsiang",Kaohsiung Medical University,否
74,23570486400,"Chen, Weihsiang",Kaohsiung Medical University,否
75,23570486400,"Chen, Weihsiang",Kaohsiung Medical University,否
76,24178276700,"Ku, Te Tien",National Kaohsiung University of Science and Technology,否
77,24376677800,"Lui, Hon Kit",National Sun Yat-Sen University,是
78,24398195600,"Andersson, David Emanuel","National Sun Yat-sen University, College of Management",否
79,24478638400,"Lee, Chichuan",Southwestern University of Finance and Economics,否
80,25638292400,"Chang, Meiying",National Sun Yat-Sen University,是
81,26638030200,"Chang, Kuanchang",Peking University,否
82,26643010000,"Lai, Weikuang",National Sun Yat-Sen University,是
83,28567543300,"Cheng, Wen",National Sun Yat-Sen University,是
84,35095061300,"Chang, Tsangyaao Yao",Feng Chia University,否
85,35172599600,"Cheng, Yingyao",National Sun Yat-Sen University,是
86,35217589400,"Chiu, Yibin",Southwestern University of Finance and Economics,否
87,35230406500,"Lin, Che-Hsin",National Sun Yat-Sen University,是
88,35240413600,"Hsu, Mingfu",Chinese Culture University Taiwan,否
89,35268136000,"Chen, Kufan",National Chi Nan University,否
90,35268136000,"Chen, Kufan",National Chi Nan University,否
91,35298728600,"Chu, Angus C.",University of Liverpool,否
92,35423794200,"Hung, I. Chun",University of Washington,否
93,36068171000,"Huang, Wenyao",National Sun Yat-Sen University,是
94,36077000500,"Liu, Jongkang",National Sun Yat-Sen University,是
95,36110623200,"Chen, Chiuwen",National Kaohsiung University of Science and Technology,否
96,36110623200,"Chen, Chiuwen",National Kaohsiung University of Science and Technology,否
97,36716371600,"Kuo, Yuchia",Formosa Petrochemical Corporation,否
98,36771341500,"Chang, Hsueh Wei",Kaohsiung Medical University,否
99,36982921900,"Chen, Liming",National Sun Yat-Sen University,是
100,37044278900,"Chang, Temin",National Sun Yat-Sen University,是
101,47060946800,"Chang, Tingchang",National Sun Yat-Sen University,是
102,50261235100,"Chien, Peiyu",National Sun Yat-Sen University,是
103,51864267900,"Liao, Chihhsing",Chinese Culture University Taiwan,否
104,53882040600,"Tang, Wenhui",National Sun Yat-Sen University,是
105,54390319000,"Tu, Yaoting",Fooyin University Taiwan,否
106,54793061400,"Lin, Cecilia I.C.",Chia-Nan University of Pharmacy and Science Taiwan,否
107,55062871000,"Ie, Iauren",National Sun Yat-Sen University,是
108,55351442300,"Chu, Hsun",Tunghai University,否
109,55372387600,"Fang, Wei Chieh",Washington University in St. Louis,否
110,55396972200,"Agoramoorthy, G.",Tajen Technological University,否
111,55485529800,"Wei, Pengsheng",National Sun Yat-Sen University,是
112,55487375900,"Pan, Chengtang",National Sun Yat-Sen University,是
113,55487375900,"Pan, Chengtang",National Sun Yat-Sen University,是
114,55511277800,"Yang, Zonghan",Ltd.,否
115,55597446000,"Hsu, Chengting",Southern Taiwan University of Science and Technology,否
116,55637140600,"Chen, Mingchi",National Chengchi University,否
117,55664401100,"Yang, Shuching",National Sun Yat-Sen University,是
118,55672288500,"Yang, Shihjui",National Sun Yat-Sen University,是
119,55742457800,"Kinshuk, ",,否
120,55919421300,"Liu, Shuchiu",National Sun Yat-Sen University,是
121,56124151800,"Shih, Hueichuan",Meiho University,否
122,56242753600,"Lin, Jianli",National Sun Yat-Sen University,是
123,56421779500,"Sheu, Yihterng",National University of Kaohsiung,否
124,56421779500,"Sheu, Yihterng",National University of Kaohsiung,否
125,56430318800,"Hao, Yu",Beijing Institute of Technology,否
126,56670602600,"Yu, Minlung",Kaohsiung Medical University Chung-Ho Memorial Hospital,否
127,57037368700,"Chang, Hsueh Wen",National Sun Yat-Sen University,是
128,57135933900,"Chang, Yumin",National Taipei University of Technology,否
129,57135933900,"Chang, Yumin",National Taipei University of Technology,否
130,57135933900,"Chang, Yumin",National Taipei University of Technology,否
131,57137280200,"Chang, Longsen",Kaohsiung Medical University,否
132,57154841200,"Chen, Kangshin",National Sun Yat-Sen University,是
133,57154887900,"Yang, Lei",National Sun Yat-Sen University,是
134,57188808596,"Chew, Siewai",National Sun Yat-Sen University,是
135,57191271742,"Chen, Sih Yue",National Sun Yat-Sen University,是
